"","Cust_ID","Dwelling","LengthRes","HomeCode","HomeValue","IncCode","AgeCode","Child0_2","Child3_5","Child6_11","Child12_16","Child17_18","FirstChannel","Email","OccupCd","Travel","CurrAff","CurrEv","Wines","FineArts","Exercise","SelfHelp","Collect","Needle","Sewing","DogOwner","CarOwner","Cooking","Pets","Fashion","Camping","Hunting","Boating"
"513",31330183,1,20,2,226000,8,5,2,2,2,2,2,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"525",31340619,1,14,2,220000,6,4,2,2,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"527",31343653,1,14,2,190000,9,4,2,2,2,3,2,3,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
"533",31344773,1,9,2,0,8,4,2,2,2,3,2,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"534",31344988,1,19,2,183000,9,4,2,3,3,3,3,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"537",31346134,1,5,2,0,9,5,2,2,2,2,2,1,0,7,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"556",31375127,1,19,2,152000,8,4,2,2,2,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"559",31378733,1,6,2,0,9,4,2,2,2,2,3,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"572",31386613,4,11,2,0,9,5,2,2,2,2,2,1,0,6,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"585",31420678,2,13,2,424000,9,4,2,2,2,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"589",31434194,2,8,2,0,9,4,2,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"611",31459856,2,18,2,510000,9,5,2,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"614",31465540,4,5,2,0,3,6,2,2,2,2,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"625",31485930,2,20,2,179000,4,4,2,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"630",31493716,1,20,2,0,6,5,2,2,2,2,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"636",31503381,1,12,2,189000,9,4,2,2,3,2,3,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"638",31504802,1,8,2,0,9,5,2,2,2,2,2,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0
"641",31509374,1,19,2,0,9,4,2,2,2,3,2,3,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0
"649",31520201,1,20,2,0,8,4,2,2,2,3,2,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0
"650",31524020,1,20,2,192000,3,6,2,2,2,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"652",31525464,1,17,2,199000,5,3,2,2,2,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"655",31535307,1,7,2,0,8,3,2,3,3,2,2,3,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
"667",31548459,1,20,2,197000,9,4,2,2,2,2,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"670",31551345,1,20,2,0,3,5,2,2,2,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"671",31551581,1,10,2,170000,6,5,2,2,2,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"672",31552157,1,20,2,165000,7,4,2,2,2,2,2,3,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
"675",31553878,1,16,2,151000,7,4,2,2,2,3,3,3,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"676",31555219,1,19,2,0,6,5,2,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"677",31556521,1,17,2,183000,9,4,2,2,2,2,3,1,0,15,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0
"680",31559404,1,20,2,131000,6,3,2,2,2,2,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"682",31559527,1,20,2,0,7,5,2,2,2,2,2,2,0,7,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"683",31564271,1,20,2,171000,5,6,2,2,2,2,2,1,0,1,1,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0
"685",31565593,1,20,2,0,3,6,2,2,2,2,2,1,0,7,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
"688",31569981,3,3,2,0,9,4,2,2,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"691",31572555,1,20,2,305000,9,6,2,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"692",31572673,1,20,2,314000,9,7,2,2,2,2,2,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"693",31573014,1,14,2,286000,9,4,2,2,2,3,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"695",31575017,2,7,2,0,9,5,2,2,2,2,2,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"706",31592198,2,12,1,0,9,5,2,2,2,2,2,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0
"723",31614183,1,19,2,387000,9,5,2,2,2,2,3,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0
"730",31625545,1,20,2,0,7,4,2,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"742",31638689,1,4,2,0,7,6,2,2,2,2,2,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0
"750",31647595,1,6,2,0,6,3,2,2,3,2,2,1,1,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
