"","Cust_ID","Dwelling","LengthRes","HomeCode","HomeValue","IncCode","AgeCode","Child0_2","Child3_5","Child6_11","Child12_16","Child17_18","FirstChannel","Email","OccupCd","Travel","CurrAff","CurrEv","Wines","FineArts","Exercise","SelfHelp","Collect","Needle","Sewing","DogOwner","CarOwner","Cooking","Pets","Fashion","Camping","Hunting","Boating","Segment"
"59",31221092,1,20,2,0,8,6,2,2,2,2,2,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,"1"
"60",31225489,4,3,2,0,4,6,2,2,2,2,2,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"61",31232607,1,18,2,156000,7,4,2,2,2,3,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"62",31236340,1,19,2,185000,5,5,2,2,2,2,2,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"63",31237194,1,16,2,0,1,6,2,2,2,2,2,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,"1"
"64",31244599,1,20,2,276000,9,5,2,2,2,2,2,2,0,5,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,"1"
"65",31253984,1,14,2,234000,9,4,2,2,2,2,3,3,0,5,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,"1"
"66",31265302,1,13,2,260000,9,4,2,2,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"67",31267197,1,18,2,271000,9,4,2,2,2,2,3,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"68",31267804,1,20,2,195000,9,4,2,2,2,2,2,1,0,5,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"1"
"69",31284867,2,14,2,0,9,4,2,2,2,2,2,1,0,5,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"1"
"70",31295386,1,20,2,0,9,5,2,2,2,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"71",31299800,1,14,2,0,7,3,2,2,2,2,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"72",31307317,1,20,2,0,9,5,2,2,2,2,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"73",31310760,1,18,2,198000,8,4,2,2,2,3,3,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"74",31330183,1,20,2,226000,8,5,2,2,2,2,2,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"1"
"75",31340619,1,14,2,220000,6,4,2,2,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"76",31343653,1,14,2,190000,9,4,2,2,2,3,2,3,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,"3"
"77",31344773,1,9,2,0,8,4,2,2,2,3,2,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"3"
"78",31344988,1,19,2,183000,9,4,2,3,3,3,3,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2"
"79",31346134,1,5,2,0,9,5,2,2,2,2,2,1,0,7,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"1"
"80",31375127,1,19,2,152000,8,4,2,2,2,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"3"
"81",31378733,1,6,2,0,9,4,2,2,2,2,3,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"82",31386613,4,11,2,0,9,5,2,2,2,2,2,1,0,6,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"1"
"83",31420678,2,13,2,424000,9,4,2,2,2,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"84",31434194,2,8,2,0,9,4,2,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"85",31459856,2,18,2,510000,9,5,2,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"86",31465540,4,5,2,0,3,6,2,2,2,2,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"3"
"87",31485930,2,20,2,179000,4,4,2,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"88",31493716,1,20,2,0,6,5,2,2,2,2,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"89",31503381,1,12,2,189000,9,4,2,2,3,2,3,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"90",31504802,1,8,2,0,9,5,2,2,2,2,2,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,"1"
"91",31509374,1,19,2,0,9,4,2,2,2,3,2,3,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,"1"
"92",31520201,1,20,2,0,8,4,2,2,2,3,2,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,"1"
"93",31524020,1,20,2,192000,3,6,2,2,2,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"94",31525464,1,17,2,199000,5,3,2,2,2,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"95",31535307,1,7,2,0,8,3,2,3,3,2,2,3,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,"2"
"96",31548459,1,20,2,197000,9,4,2,2,2,2,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"97",31551345,1,20,2,0,3,5,2,2,2,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"3"
"98",31551581,1,10,2,170000,6,5,2,2,2,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"99",31552157,1,20,2,165000,7,4,2,2,2,2,2,3,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,"3"
"100",31553878,1,16,2,151000,7,4,2,2,2,3,3,3,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"1"
"101",31555219,1,19,2,0,6,5,2,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"102",31556521,1,17,2,183000,9,4,2,2,2,2,3,1,0,15,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,"1"
"103",31559404,1,20,2,131000,6,3,2,2,2,2,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"104",31559527,1,20,2,0,7,5,2,2,2,2,2,2,0,7,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"1"
"105",31564271,1,20,2,171000,5,6,2,2,2,2,2,1,0,1,1,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,"1"
"106",31565593,1,20,2,0,3,6,2,2,2,2,2,1,0,7,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,"1"
"107",31569981,3,3,2,0,9,4,2,2,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"108",31572555,1,20,2,305000,9,6,2,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"109",31572673,1,20,2,314000,9,7,2,2,2,2,2,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"110",31573014,1,14,2,286000,9,4,2,2,2,3,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"3"
"111",31575017,2,7,2,0,9,5,2,2,2,2,2,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"112",31592198,2,12,1,0,9,5,2,2,2,2,2,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,"1"
"113",31614183,1,19,2,387000,9,5,2,2,2,2,3,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,"1"
"114",31625545,1,20,2,0,7,4,2,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"115",31638689,1,4,2,0,7,6,2,2,2,2,2,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,"1"
"116",31647595,1,6,2,0,6,3,2,2,3,2,2,1,1,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"3"
"117",31686163,1,20,2,0,6,6,2,2,2,2,2,1,0,14,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"3"
"118",31698037,1,20,2,156000,9,5,2,2,2,2,2,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,"1"
"119",31701674,1,20,2,144000,7,5,2,2,2,2,3,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
